"","Echantillon","Répétition","Echantillon_Repétition","TMG","Ecart-type TMG","T10","T20","T30","T40","T50","T60","T70","T80","Banc","Camera","zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"1","A009",1,"A009_1",165.3,31.0688539249603,133.5,141,151.5,163,168.75,172.5,190.5,243,"2","4","24",7.5,10.5,11.5,5.75,3.75,18,52.5
"2","A010",1,"A010_1",165.285714285714,33.7803831493114,127.5,139.5,147.75,153,157.5,174,210.75,219,"2","4","32",12,8.25,5.25,4.5,16.5,36.75,8.25
"3","A011",1,"A011_1",152.599378881988,22.3067873880619,130.5,147,154.875,157,160.5,166,168.5,171,"2","4","13",11.625,13.6875,4.3125,3,8.75,8.75,9.5
"5","A012",1,"A012_1",164.592391304348,28.9619896171355,127.5,148.2,149.7,159,166.125,168,175.5,210,"2","4","22",12.6,7.125,7.27500000000001,16.3125,8.4375,6.75,26.5
"7","A013",1,"A013_1",166.461818181818,34.3834562414492,138.75,142,144.75,147.75,149.625,161,182.25,201,"2","4","41",3.5,5.125,6.75,7.6875,12.4375,29.375,11.625
"9","A014",1,"A014_1",179.762608695652,25.3428982034702,154.5,170,172.5,177,182.25,187.5,196.5,210,"2","4","24",11.875,8.25,3.5,8.25,4.5,7.25,11.5
"11","A015",1,"A015_1",178.114624505929,28.7094693672457,143.25,156,166.5,180,189.75,196.5,217.5,222,"2","4","43",8.25,9.75,13.5,7.625,6.625,12.375,6.375
"13","A016",1,"A016_1",172.5625,25.1334483556618,139.5,147,157.5,163.5,169.5,180,187.5,192,"2","4","14",5.5,6.875,4.875,4.75,6.5,9,7.5
"15","A017",1,"A017_1",167.23,34.0977748796565,130.5,141,146.25,150,163.5,168,187.5,216,"2","4","14",7.5,9,6,10.875,4.125,18,20.25
"17","A018",2,"A018_2",157.304347826087,35.1586466574385,116.25,129,136.5,140,143.25,156,184.5,210,"2","4","21",12.75,7.5,3.5,3.25,12.75,28.5,25.5
"18","A019",1,"A019_1",177.678853754941,24.5174684281303,152.25,156,163.5,168,178.5,189,196.5,240,"2","4","11",4.125,5.40000000000001,3,6.59999999999999,9.75,5.625,29.625
"20","A020",1,"A020_1",169.0625,30.1903188266775,130.5,137,144.75,150,176.25,189,199.5,216,"2","4","21",6.5,6.5,4.5,18.375,10.875,8.625,10.125
"22","A021",1,"A021_1",153.755681818182,23.1228899852996,135.75,139,142.5,152,164.25,175.5,181.5,188,"2","4","21",3.5,8.5,6.25,10.25,7.5,6,7
"24","A022",1,"A022_1",163.32,31.7771785031359,118.5,133.5,139.5,144,154.5,160.5,165.75,192,"2","4","21",9.375,9.375,3.875,6.625,7.125,15.375,19.375
"26","A023",1,"A023_1",146.235,23.3827000469759,136.5,142,144.5,147,154.5,165,172.5,186,"2","4","42",4.375,2.625,3.125,5.625,8.625,12,30
"28","A024",1,"A024_1",162.394409937888,28.7787534395024,139.5,147,156.75,163.5,167.25,174,181.5,216,"2","4","31",7.5,8.625,5.625,3.75,5.25,11.25,28.5
"30","A025",1,"A025_1",154.205357142857,28.2291657973951,145.5,150,154.5,160.5,163.5,174,205.5,222,"2","4","22",4.125,3.5,5.5,7.5,10.5,21,12
"32","A026",1,"A026_1",159.0625,23.4134423618879,143.25,162,168.642857142857,169.714285714286,170.785714285714,173,181.5,216,"2","4","44",10.375,4.82142857142857,4.28571428571428,2.22321428571429,2.04464285714286,5.375,19.5
"34","A027",1,"A027_1",170.243506493507,30.9388155236674,139.5,157,160.5,172.5,187.5,195,214.5,219,"2","4","23",13.25,3.625,7.875,17.25,15,15.375,4.875
"36","A028",1,"A028_1",158.455357142857,32.7456782445933,134.25,141,153.5,156,161.25,183,220.5,228,"2","4","43",7.875,8.125,2.375,5.125,12.125,27.375,7.125
"38","A029",1,"A029_1",172.26,22.9927544353037,145.5,159,174.375,176.25,183.5,186,188.5,192,"2","4","21",15,11.8125,3.0625,4.25,1.875,5,3.25
"40","A030",1,"A030_1",148.38,22.5071169587975,133.5,138,142.5,153,156.75,160,163.5,174,"2","4","13",5,4,9,4.125,3.875,14.5,18
"42","A031",1,"A031_1",165.082857142857,34.1512388375514,143.25,147,160.5,165,178.5,183,213.75,225,"2","4","14",4.5,10.125,5.625,8.25,6.75,17.25,12
"44","A032",1,"A032_1",162.059782608696,29.152049564408,139.5,144,156.75,162.75,164.625,174,177.75,183,"2","4","12",4.875,10.125,8.25,3,5.625,10.125,19.875
"46","A033",1,"A033_1",140.9925,22.62161723737,133.5,137,139.125,141,146.25,153,164.5,172,"2","4","34",4,5.9375,2.4375,3.5625,6.5625,8,9
"48","A034",1,"A034_1",164.392045454545,32.7147260932652,127.5,138,156.5,159,166.5,183,188.25,210,"2","4","14",10.625,11,6.5,8.625,15.375,9.75,18.75
"50","A035",1,"A035_1",153.67701863354,27.030565360443,133.5,139.5,143.25,146,150.5,153,157.5,165,"2","4","33",8.625,4.125,5.125,6,15.5,21.375,10.125
"52","A036",1,"A036_1",165.028695652174,27.3853963374455,132.75,138,149.25,153,161.25,168,177.75,198,"2","4","13",4.125,7.125,4.125,6.75,6.75,10.5,13
"54","A037",1,"A037_1",192.227272727273,27.0069022380202,159.5,162,181.5,190.5,197.25,199.5,219.75,225,"4","4","32",7.25,12.75,8.25,10.125,3.375,18.375,14.375
"56","A038",1,"A038_1",143.026785714286,18.5768837024036,132.75,138,143.25,148,151.5,156,171.75,177,"2","4","43",4.875,4.5,5,3.7,3,10.425,6.375
"58","A039",1,"A039_1",148.071428571429,23.3475873740032,131.25,136,139.5,143,148.5,153,178.5,195,"2","4","11",4.125,3.625,4.375,5.375,5.125,14.375,13.125
"60","A040",1,"A040_1",146.869565217391,22.1997994570467,132.75,138,154.5,159,163.5,168,175.5,183,"2","4","12",4.375,10.4375,3.1875,7.875,5.25,10.875,10.875
"62","A041",1,"A041_1",142.959627329193,18.5594277801186,128.25,133.5,141.75,145.5,149.25,153,155.5,159,"2","4","32",4.875,8.875,3.125,2.8125,3.9375,6.5,7
"64","A042",1,"A042_1",163.9825,27.9617928818329,131.25,139,142.5,147,148.875,156,163.5,171,"2","4","42",8.625,3.8125,3.1875,8.0625,6.9375,7.125,10.875
"66","A043",1,"A043_1",193.135454545455,18.585842980295,172.5,177,180.75,186,188.5,194,200.25,207,"4","4","33",4.125,4.6875,3.5625,9.5,5,7.25,5.25
"68","A044",1,"A044_1",164.119318181818,32.7202627746147,148.5,159,174.375,176.25,181.5,186,192.75,202.5,"2","4","32",7.125,12.5625,5.8125,6.375,4.5,22.125,20.625
"70","A045",1,"A045_1",160.270434782609,29.106092487917,136.5,151.5,156.75,160.5,165.5,168,176.5,183,"2","4","23",10.125,4.5,4.5,7.75,4,22.5,5.5
"72","A046",1,"A046_1",156,31.5444797809236,132.75,136.5,139.125,141,146.25,150,172.5,176,"2","4","41",5.4375,3.1875,4.3125,7.125,5.625,28.125,7.375
"74","A047",1,"A047_1",161.9225,30.5063241864325,132.75,141,146.5,149,151.5,159,166.5,172.5,"2","4","21",7.125,3.875,3.875,4.5,5,13.6875,6.5625
"76","A049",1,"A049_1",155.1225,28.0781056144328,121.5,127.5,131.25,138,143.5,156,163.5,175.5,"2","4","13",6.75,5.125,4.625,6.5,10,7.875,10.875
"78","A050",1,"A050_1",165.597402597403,27.2253723374788,130.5,144,154.5,158,166.5,174,181.5,204,"2","4","42",12,7,3,11,7.5,14.625,13.875
"80","A051",1,"A051_1",176.111413043478,30.4848700211912,140.25,150,154.5,162,166.5,177,211.5,228,"2","4","24",12,6.375,4.875,3.375,8.625,23.25,15.75
"82","A052",1,"A052_1",159.89347826087,24.3958464036446,142.5,154.5,159.75,171,180.75,193.5,201.75,222,"2","4","33",9,6,7,5.9375,7.3125,13.875,20.625
"84","A053",1,"A053_1",160.159090909091,26.2116715162464,142.5,156,162.75,168,174.75,178.5,184.5,204,"2","4","31",8.625,5.8125,6.9375,7.875,3.625,4.625,25.125
"86","A054",1,"A054_1",162.692934782609,20.9614170606108,133.5,145.5,149.25,153,157.875,162,174.75,183,"2","4","32",7.875,6.9375,2.8125,4.6875,4.3125,9,9
"88","A055",1,"A055_1",155.308441558442,29.9992024501497,133.5,141,148.5,152,169.5,175.5,192.75,198,"2","4","34",7.5,8,6.5,10.8125,3.9375,15.375,25.875
"90","A056",1,"A056_1",150.847826086957,23.366427385761,136.5,144,146.5,154,156.5,159,164.25,169.5,"2","4","24",5.5,2.875,5.125,2.875,6.125,4.875,6.375
"92","A057",1,"A057_1",166.107142857143,38.3439302237813,138.5,141,157.5,177,190.5,204,220.5,228,"2","4","22",5.375,12,12.5,8.5,10.5,15,30
"94","A058",1,"A058_1",143.04,18.6558206156659,140.25,144,147.3,148.8,150.375,152.25,157.5,162,"2","4","33",6.625,3.83750000000001,1.6875,3.41249999999999,3.1875,6,7.875
"96","A059",1,"A059_1",143.547272727273,27.7453215917747,121.5,125,133.5,137,148.5,165,181.5,198,"2","4","13",3.5,7,4,9.5,11.25,15.375,10.875
"98","A060",1,"A060_1",141.48,24.6776562623747,125.25,130.5,135.75,141,147.3,148.8,151.5,156,"2","4","32",4.5,5.25,4.5,4.40000000000001,2.5,5.47499999999999,5.625
"100","A061",1,"A061_1",144.152173913043,20.6094795020534,129.75,133.5,137.25,144,146.5,165,169.5,174,"2","4","24",3.125,2.5,5.25,2.5,12.5,5.4375,3.1875
"102","A062",1,"A062_1",157.387826086957,25.4737608677347,130.5,141,147.75,153,159.5,162,169.5,177,"2","4","34",9.75,6.375,3.97499999999999,4,2.40000000000001,6.875,8.625
"104","A063",1,"A063_1",166.3025,29.1876330817077,136.5,144,146.5,154,160.5,168,173.25,186,"2","4","24",5,5,6,9.625,6.375,8.25,12.75
"106","A064",1,"A064_1",161.715909090909,28.6006572869518,148.5,153,163.5,172,175.5,186,197.25,216,"2","4","24",7.5,7.5,7,3.125,8.625,7.125,14.625
"108","A065",1,"A065_1",161.652597402597,29.4037166949841,136.5,147,157.5,163.5,170.25,180,199.5,219,"2","4","13",9.875,6.625,4.875,5.8125,5.8125,27.375,21
"110","A066",1,"A066_1",163,27.3863895661313,122.25,130.5,144.75,150,160.5,163.5,167.25,174,"2","4","14",13.125,9.75,5.25,11.625,3.375,7.5,12
